Player,Team,actual_Rank,actual_SACK,actual_INT,actual_FR,actual_FF,actual_DEF TD,actual_SFTY,actual_SPC TD,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_SACK,projections_INT,projections_FR,projections_FF,projections_TD,projections_SAFETY,projections_PA,projections_YDS_AGN,projections_FPTS
Denver Broncos,DEN,1.0,63.0,15.0,9.0,12.0,5.0,2.0,0.0,17.0,147.0,8.6,83.1,41.7,11.3,11.1,18.9,2.4,0.5,407.1,5966.5,101.5
Minnesota Vikings,MIN,2.0,49.0,24.0,9.0,10.0,3.0,0.0,0.0,17.0,125.0,7.4,74.3,43.3,11.9,9.6,17.1,2.1,0.0,404.8,5654.4,99.0
Chicago Bears,CHI,3.0,40.0,11.0,13.0,14.0,1.0,0.0,2.0,17.0,121.0,7.1,24.5,38.1,14.7,8.9,13.2,2.4,0.5,372.1,5542.6,101.0
Houston Texans,HOU,4.0,49.0,19.0,9.0,10.0,3.0,1.0,0.0,17.0,117.0,6.9,43.7,49.0,13.3,10.7,15.5,2.4,0.5,393.4,5711.0,112.2
Seattle Seahawks,SEA,5.0,45.0,13.0,5.0,14.0,4.0,1.0,1.0,17.0,113.0,6.6,27.0,45.1,12.6,9.5,14.3,2.2,0.5,394.4,5826.9,103.1
Pittsburgh Steelers,PIT,6.0,40.0,17.0,16.0,18.0,1.0,0.0,1.0,17.0,112.0,6.6,78.5,48.5,13.6,9.8,15.8,2.7,0.0,351.8,5618.0,111.5
Philadelphia Eagles,PHI,7.0,41.0,13.0,13.0,18.0,1.0,0.0,0.0,17.0,108.0,6.4,87.5,50.8,13.1,10.3,15.1,2.5,0.0,382.2,5584.2,112.3
Baltimore Ravens,BAL,8.0,54.0,12.0,5.0,12.0,2.0,0.0,0.0,17.0,104.0,6.1,77.2,50.9,14.2,11.0,16.5,2.7,0.0,324.2,5269.9,117.1
Buffalo Bills,BUF,9.0,39.0,16.0,16.0,17.0,3.0,1.0,0.0,17.0,98.0,5.8,43.0,46.0,13.4,10.7,18.0,2.4,0.5,349.2,5607.9,109.2
Detroit Lions,DET,10.0,37.0,16.0,8.0,11.0,1.0,0.0,1.0,17.0,98.0,5.8,47.8,40.9,13.4,9.1,12.8,2.2,0.5,401.2,5843.3,100.4
Green Bay Packers,GB,11.0,45.0,17.0,14.0,15.0,1.0,0.0,0.0,17.0,98.0,5.8,39.2,43.9,13.3,9.2,14.7,2.4,0.5,381.6,5800.0,104.7
Los Angeles Chargers,LAC,12.0,46.0,15.0,6.0,8.0,1.0,0.0,0.0,17.0,96.0,5.6,46.9,45.9,11.5,10.6,18.1,2.4,0.5,384.8,5708.0,105.3
Los Angeles Rams,LAR,13.0,38.0,13.0,7.0,10.0,3.0,1.0,1.0,17.0,94.0,5.5,20.0,41.1,13.1,8.2,11.9,2.2,0.5,406.8,5855.5,97.5
Kansas City Chiefs,KC,14.0,39.0,13.0,7.0,12.0,1.0,0.0,0.0,17.0,91.0,5.4,69.5,50.0,12.1,10.0,15.8,2.7,0.5,337.8,5286.9,111.5
New Orleans Saints,NO,15.0,39.0,14.0,3.0,12.0,0.0,1.0,1.0,17.0,84.0,4.9,33.8,41.9,13.3,10.0,14.4,2.5,0.0,362.1,5536.6,103.9
Tampa Bay Buccaneers,TB,16.0,46.0,7.0,11.0,15.0,1.0,1.0,1.0,17.0,84.0,4.9,47.6,45.3,11.5,10.1,18.0,2.4,0.0,374.1,5676.3,103.0
Miami Dolphins,MIA,17.0,35.0,10.0,6.0,7.0,0.0,0.0,0.0,17.0,73.0,4.3,43.4,47.2,12.4,10.4,18.0,2.5,0.5,377.0,5517.0,108.4
Arizona Cardinals,ARI,18.0,41.0,9.0,8.0,16.0,0.0,2.0,1.0,17.0,71.0,4.2,21.4,38.3,11.9,8.8,13.3,2.3,0.0,427.4,6042.0,93.5
Dallas Cowboys,DAL,19.0,52.0,13.0,9.0,16.0,1.0,0.0,3.0,17.0,70.0,4.1,31.2,50.0,14.2,10.9,16.6,3.1,0.0,346.5,5446.1,118.8
San Francisco 49ers,SF,20.0,37.0,11.0,6.0,11.0,1.0,0.0,1.0,17.0,67.0,3.9,43.6,44.3,15.1,9.4,13.8,2.7,0.5,326.5,5500.2,110.5
New England Patriots,NE,21.0,28.0,7.0,5.0,9.0,1.0,0.0,0.0,17.0,65.0,3.8,18.7,34.9,12.3,9.3,13.9,2.3,0.0,410.4,5661.2,92.1
New York Giants,NYG,22.0,45.0,5.0,10.0,15.0,0.0,0.0,2.0,17.0,62.0,3.6,11.8,41.6,12.4,11.4,19.3,2.5,0.0,398.5,5814.7,104.1
Cleveland Browns,CLE,23.0,41.0,4.0,8.0,11.0,1.0,1.0,1.0,17.0,61.0,3.6,27.8,47.5,13.4,9.2,14.4,2.9,0.0,358.1,5231.4,109.8
Las Vegas Raiders,LV,24.0,38.0,10.0,3.0,6.0,1.0,0.0,0.0,17.0,60.0,3.5,20.2,44.7,11.3,9.5,15.2,2.6,0.5,386.7,5653.5,102.6
Washington Commanders,WAS,25.0,43.0,7.0,10.0,12.0,1.0,0.0,0.0,17.0,60.0,3.5,37.0,47.8,11.5,9.9,15.7,2.1,0.5,431.7,5761.2,104.6
Jacksonville Jaguars,JAC,26.0,34.0,6.0,3.0,5.0,1.0,0.0,1.0,17.0,57.0,3.4,19.2,41.2,13.0,10.9,16.2,2.7,0.0,383.7,5639.1,105.1
Atlanta Falcons,ATL,27.0,31.0,12.0,6.0,12.0,4.0,1.0,0.0,17.0,55.0,3.2,21.4,45.9,12.4,9.3,13.8,2.4,0.5,377.2,5371.0,104.6
New York Jets,NYJ,28.0,43.0,7.0,10.0,14.0,0.0,0.0,1.0,17.0,55.0,3.2,44.0,47.8,14.5,9.5,15.5,2.8,1.0,339.2,5162.2,114.7
Indianapolis Colts,IND,29.0,36.0,16.0,9.0,17.0,1.0,0.0,0.0,17.0,47.0,2.8,36.9,49.0,12.4,9.9,15.8,2.4,0.5,410.4,5694.6,109.2
Tennessee Titans,TEN,30.0,32.0,11.0,6.0,10.0,0.0,2.0,0.0,17.0,46.0,2.7,31.5,43.5,11.1,9.2,12.9,2.1,0.0,395.0,5706.3,96.6
Cincinnati Bengals,CIN,31.0,36.0,15.0,10.0,12.0,2.0,1.0,1.0,17.0,44.0,2.6,32.6,47.2,13.2,10.0,15.6,2.4,0.0,365.9,5764.6,108.1
Carolina Panthers,CAR,32.0,32.0,9.0,8.0,8.0,0.0,0.0,0.0,17.0,17.0,1.0,12.6,36.4,11.6,8.3,11.3,2.2,0.0,403.8,5575.0,89.5
